feature,mean_abs_shap
P_emaildomain_tld,0.018771218845511743
V308,0.018590464052810774
V127,0.017805616903755154
M9,0.017437553424705876
V313,0.01730160932387189
dist2,0.01729727829273425
id_06,0.017118285883467553
V76,0.01693121047841646
V49,0.01635388932438875
FE_M6,0.01626605193515216
P_emaildomain_provider,0.015981026230577046
M1,0.01562914733235932
V317,0.015605180465755382
V62,0.014702226615582244
V221,0.014543578288863497
V30,0.014436007710848704
V281,0.014317875623669941
V283,0.014120434757878013
TransactionAmt_card4_mean,0.013938146157328581
V309,0.013567622771411193
id_18,0.013523304967216905
V320,0.013342459355600371
V55,0.012968934104413314
V29,0.012954153584415318
V19,0.012932404620139434
V314,0.012736007418422682
V315,0.012707864277466212
V35,0.012413539627184037
FE_M8,0.012325017781014906
V311,0.01227720623278107
V61,0.01227670340277577
V56,0.01206495235114158
V66,0.012043797952757567
FE_M3,0.011685555032896432
V12,0.011616387468197766
TransactionAmt_log_card1_count,0.011595113344744121
V2,0.011378480050021969
C3,0.011204819248961786
V189,0.0111565268548002
V54,0.010977636277229258
V13,0.010924910408830922
V87,0.01089968754782329
id_17,0.010682053365133356
V128,0.010634591418997658
FE_R_emaildomain_provider,0.010151391975593567
V38,0.009997988799601397
id_16,0.009839837736747816
V78,0.009833574503633355
V316,0.009640020990712489
D6,0.009568290550537416
V129,0.009427526933467248
V86,0.009393651375817587
V77,0.00912532185798375
V20,0.008875278200270412
V90,0.008712196227521904
D12,0.008626783069341507
V67,0.008482221355904403
V159,0.00837701538940018
V257,0.00837178477451939
V75,0.008251531402865074
V4,0.008236887155696579
V24,0.008094959722145143
id_15,0.007859886124359188
V277,0.00776594301865422
TransactionAmt_card4_std,0.007680377783125005
id_09,0.007480761456765346
V33,0.0073849802437511705
V200,0.00735032250429855
V44,0.007327794452419575
V126,0.0072861763743217655
id_03,0.007185751998709004
R_emaildomain_provider,0.007053115605003774
V332,0.007029902630869025
V5,0.007002914459411212
V282,0.006983167795592279
V7,0.006750647612650657
