threshold,reviewed_n,reviewed_percent,precision,recall,dollar_precision,dollar_recall,expected_cost
6.73447867719298e-05,52838,59.649360472336056,0.05556606987395435,0.9523191696399611,0.05382396871952677,0.9706661373227154,512795.37109375
6.825391607518794e-05,52616,59.398742393967105,0.055800516953018096,0.9523191696399611,0.054000323186082874,0.9706661373227154,510575.37109375
6.900050007518796e-05,52394,59.14812431559815,0.05599877848608619,0.9516704508595524,0.054138273137413005,0.9704098722092355,508495.71484375
6.99687681453634e-05,52172,58.8975062372292,0.05619872728666718,0.9510217320791436,0.05428021656796493,0.9701394329931402,506422.71484375
7.10744336842105e-05,51950,58.64688815886025,0.05640038498556304,0.950373013298735,0.054465912632242756,0.97005022930978,504264.60546875
7.18939447794486e-05,51728,58.3962700804913,0.05660377358490566,0.9497242945183263,0.05447900614054472,0.9667219104534265,503627.60546875
7.2797308245614e-05,51506,58.145652002122354,0.056847745893682286,0.9497242945183263,0.05469420685636288,0.9667219104534265,501407.60546875
7.370349578947368e-05,51284,57.8950339237534,0.057074331175415334,0.9493999351281219,0.054877609719967815,0.9664727656637954,499314.60546875
7.463587166666664e-05,51062,57.64441584538445,0.05728330265167835,0.9487512163477133,0.05504231976955993,0.966011874421011,497331.04296875
7.560128240601503e-05,50840,57.3937977670155,0.05753343823760818,0.9487512163477133,0.05524495939474477,0.966011874421011,495111.04296875
7.653384714285702e-05,50618,57.14317968864655,0.057785767908649095,0.9487512163477133,0.055408948909036894,0.966011874421011,492891.04296875
7.748797675438596e-05,50396,56.892561610277596,0.05800063497102945,0.9481024975673046,0.055558325766985724,0.9654163624759232,490970.69921875
7.836277332330827e-05,50174,56.64194353190865,0.05825726471877865,0.9481024975673046,0.05574362860055843,0.9654163624759232,488750.69921875
7.940524723308267e-05,49952,56.3913254535397,0.058496156310057654,0.9477781381771002,0.055912623527840516,0.9653226669994808,486584.69921875
8.063295649122806e-05,49730,56.14070737517075,0.05873718077619143,0.9474537787868959,0.05610982738785597,0.9651970298833421,484433.69921875
8.177644307769423e-05,49508,55.8900892968018,0.05896016805364789,0.9468050600064872,0.056328295175477314,0.964905429330948,482370.63671875
8.289114518796991e-05,49286,55.639471218432845,0.05920545388142678,0.9464807006162829,0.056546737535042066,0.9647927019608532,480213.57421875
8.40495703258145e-05,49064,55.388853140063894,0.059473340942442526,0.9464807006162829,0.05674129095152157,0.9647927019608532,477993.57421875
8.524765609022556e-05,48842,55.13823506169494,0.05968224069448425,0.9455076224456698,0.05691433308581002,0.964456250022719,475961.57421875
8.644508947368415e-05,48620,54.887616983326,0.05991361579596874,0.9448589036652612,0.05710125273989032,0.9643626917955095,473805.509765625
8.747099525062657e-05,48398,54.636998904957046,0.06016777552791438,0.9445345442750568,0.057178835583224286,0.9611600100552947,473099.509765625
